3.3597897339679457,2.9977852352305416,-0.0010016556388581475;2.796680089219478,3.585049578658394,1.8167928625008993
3.376251578081273,2.9977687976213416,-0.001001622902322391;2.792872669839566,3.592095072156269,1.8128422038941265
3.3932193362132392,2.997801805764114,-0.0010014709868607467;2.7939363940070034,3.621673865671085,1.8422916499556847
3.409689922800224,2.997885946823198,-0.0010013800572066835;2.7779421595689913,3.609827815653398,1.7805351035534456
3.426163110885945,2.998021292533961,-0.0010014556277683807;2.7718103946895463,3.6362075236364553,1.7905707074870045
3.4431381921260384,2.9982141741976616,-0.00100169412140216;2.7636585122174835,3.6509251403331358,1.8112259551827448
3.459612629601557,2.998453073569447,-0.0010020898406348996;2.7739741300194596,3.688019352226008,1.8445464129696059
3.476061911428939,2.998743374229521,-0.001001211565462956;2.760811400671772,3.715279446811522,1.8076954894036332
3.493020812654368,2.999101492914138,-0.0010015098146111227;2.7888051658614144,3.657870610613399,1.8407033217066855
3.5094827343799664,2.9995069714897213,-0.0010013721509117904;2.774903235584337,3.711378622757174,1.8642878187335692
3.5259460401436367,2.9999695174298653,-0.0010014000016338835;2.7877515397781054,3.7157445361925205,1.8150466553314646
3.542909782383791,3.0005056700243227,-0.0010016165210299244;2.781550640415221,3.74100143344603,1.8220685055318195
3.5593734177272722,3.001083624594234,-0.0010019937432948073;2.7767761629543237,3.7703638745585693,1.8615780639072237
3.575820538333814,3.001717514278532,-0.0010020178598664255;2.7786553102168217,3.8144767417378143,1.8194282590181965
3.5927556861805927,3.002435536920086,-0.0010016240947635195;2.765772467761138,3.8265917581323095,1.8299237438268392
3.60920071701487,3.0031972960771687,-0.001001386223894854;2.766396983519416,3.774646150411438,1.7885375614421741
3.6256456123179577,3.0040225165953784,-0.0010013741313996613;2.767012950488492,3.873971891832476,1.8495625609231776
3.6425887291407117,3.004939015510578,-0.0010015474375901917;2.7524832491306896,3.9045164621149455,1.8244947426651068
